,N,Rooms,Price,Totsp,Livesp,Kitsp,Dist,Metrdist,Walk,Brick,Tel,Bal,Floor,Nfloors,New
480,47738777,2,7300000,53.0,31.0,10.0,19.09680144836525,10.0,0,0,1,1,12,14.0,0
481,47747362,3,13200000,80.0,50.0,9.0,12.46054927775487,10.0,1,1,1,0,7,9.0,0
482,47776164,3,10550000,75.0,45.4,10.6,15.505650627715394,15.0,1,0,1,1,4,17.0,0
483,47830789,3,17200000,114.0,75.0,13.0,12.992361471306408,,0,1,1,0,8,9.0,0
484,47833994,2,5150000,45.0,30.0,6.0,16.349091911767903,20.0,1,1,1,1,3,5.0,0
485,47858087,3,10900000,77.2,45.4,10.3,16.185397779903862,8.0,1,0,1,1,6,17.0,0
486,47887587,2,10349000,65.0,38.0,18.5,8.522078173578183,17.0,1,1,1,0,5,5.0,0
487,47903672,3,7000000,60.0,41.0,6.0,13.09687384916539,3.0,1,0,1,1,5,5.0,0
488,47907377,2,20251600,80.0,40.0,10.0,6.4975213312675955,5.0,1,1,0,1,3,21.0,0
489,47909352,3,25288800,98.0,53.0,11.0,6.4975213312675955,10.0,1,1,0,1,6,21.0,0
490,47910409,3,8100000,65.0,43.1,8.1,15.960275410626535,10.0,0,0,1,1,7,9.0,0
491,47955122,2,11500000,52.0,30.4,8.4,7.498869520681935,15.0,1,0,1,1,7,16.0,0
492,47976461,1,5800000,35.4,19.6,9.6,14.070102701136898,15.0,1,0,1,1,10,14.0,0
493,48032374,3,12000000,85.0,46.0,9.0,8.032236398192918,22.0,0,1,0,1,5,5.0,0
494,48085684,3,11000000,73.2,44.4,10.0,15.765726143007065,7.0,1,0,1,1,2,18.0,0
495,48861271,1,6500000,40.0,18.0,10.0,18.634548300796816,5.0,0,0,1,1,6,12.0,0
496,48927081,1,5300000,30.2,18.4,5.2,9.040370349418147,5.0,1,1,0,0,1,5.0,0
497,48967229,1,6300000,34.0,19.0,6.0,8.267539206011959,4.0,1,1,1,1,7,8.0,0
498,49024086,3,7300000,60.0,38.0,6.0,14.686682359957132,27.0,1,0,1,0,4,5.0,0
499,49027146,3,6800000,54.9,37.2,6.0,9.569495839583903,15.0,1,0,0,1,4,5.0,0
500,49049671,1,8000000,38.0,19.0,9.0,12.287399889532288,15.0,1,0,0,1,7,14.0,0
501,49067219,1,5499000,30.2,18.0,6.5,9.03855460958691,5.0,0,1,0,1,9,9.0,0
502,49069041,2,6500000,45.0,29.0,5.5,13.630300370735858,14.0,1,1,0,1,4,9.0,0
503,49095159,3,8000000,54.0,37.0,6.0,12.65214925386875,4.0,1,0,1,1,4,9.0,0
504,49138996,1,8250000,39.8,16.5,9.0,5.250956132470317,17.0,1,1,0,1,3,12.0,0
505,49169349,3,6800000,58.1,43.5,6.0,12.281168741518695,10.0,0,0,0,0,1,5.0,0
506,49170426,1,6400000,45.0,20.0,10.0,18.662474363349865,17.0,0,0,0,1,18,24.0,0
507,49177676,1,5250000,40.0,20.0,10.0,15.634960728560484,5.0,0,0,1,1,13,22.0,0
508,49178764,1,7500000,38.0,16.1,10.2,13.638875719311516,,0,1,0,1,17,18.0,0
509,49198299,2,6500000,47.0,30.0,6.0,14.301665334789348,27.0,1,0,0,1,4,9.0,0
510,49202321,4,16250000,80.0,50.0,12.0,12.985984242859212,3.0,1,1,1,1,10,14.0,0
511,49217719,1,9000000,40.0,27.0,10.0,8.478125167109418,12.0,1,1,1,1,5,12.0,0
