Year,Quarter,Cash,Long.term.borrowings,Short.term.borrowings,Revenue,Gross.profit,Net.profit
2018,2,216231.414189727,105734.543735641,415417.614221379,3056860.32589077,1146544.16150955,1013.3937086162
2018,1,2138247.36441951,123374.439781203,507744.373669917,3072195.77935501,1179960.30354299,539.531837805787
2017,4,231557.919252517,177087.951287809,634661.373196359,3165496.93455215,1211803.01072948,396.010606467417
2017,3,750659.38835124,767285.352417091,813323.737237799,3215633.76156445,1235715.46211671,630.274037477578
2017,2,197712.186830193,2179589.52119472,1071564.86928557,3238245.32359086,1232429.61330738,2763.70205446373
2017,1,1940969.25212533,2080410.57522276,1455966.60088955,3259593.891601,1269719.58026347,26359.6235593373
2016,4,209348.098683054,2435446.34749776,2047183.35957069,3363995.88106866,1313975.13442417,247344.736907729
2016,3,669337.424294966,6831219.55796024,2099604.76577118,3422930.54615712,1352179.58326037,778907.294112435
